Start write data to file
28.50 3.22 0.00 0.00 0.19
28.44 4.88 0.00 0.00 0.19
28.38 4.88 0.00 0.00 0.07
28.38 100.34 0.00 0.00 0.12
28.31 113.62 0.00 0.00 0.12
85.00 7.37 0.00 0.00 1.12
34.50 7.37 0.00 0.00 0.95
-127.00 113.62 0.00 0.00 0.63
34.50 106.98 0.00 0.00 0.78
-127.00 100.34 0.00 0.00 0.99
34.50 111.13 0.00 0.00 0.95
-127.00 121.09 0.00 0.00 0.95
-127.00 102.83 0.00 0.00 0.95c      3
-127.00 100.34 0.00 0.00 0.76
34.50 97.85 0.00 0.00 0.80
-127.00 115.28 0.00 0.00 0.95
-127.00 103.66 0.00 0.00 0.95
-127.00 105.32 0.00 0.00 0.67
-127.00 106.15 0.00 0.00 0.40
-127.00 92.87 0.00 0.00 0.72
-127.00 116.11 0.00 0.00 0.71
-127.00 118.60 0.00 0.00 0.42
34.50 95.36 0.00 0.00 0.67
-127.00 104.49 0.00 0.00 0.73
34.44 111.13 0.00 0.00 0.73
34.44 107.81 0.00 0.00 0.72
34.44 116.94 0.00 0.00 0.80
34.44 114.45 0.00 0.00 0.99
34.50 102.83 0.00 0.00 0.99
34.50 111.13 0.00 0.00 1.03
34.50 116.94 0.00 0.00 1.03
34.50 122.75 0.00 0.00 1.07
34.56 101.17 0.00 0.00 0.99
34.56 110.30 0.00 0.00 1.03
34.56 109.47 0.00 0.00 1.08
34.56 96.19 0.00 0.00 1.09
34.56 100.34 0.00 0.00 1.08
34.56 102.00 0.00 0.00 1.13
34.63 102.83 0.00 0.00 1.10
34.63 105.32 0.00 0.00 1.16
34.63 114.45 0.00 0.00 1.21
34.69 103.66 0.00 0.00 1.16
34.75 100.34 0.00 0.00 1.23
34.81 87.06 0.00 0.00 1.21
34.88 107.81 0.00 0.00 1.23
34.88 101.17 0.00 0.00 1.13
34.94 107.81 0.00 0.00 1.16
34.94 109.47 0.00 0.00 1.29
35.00 95.36 0.00 0.00 1.25
35.06 111.13 0.00 0.00 1.17
35.06 102.00 0.00 0.00 1.25
35.06 102.00 0.00 0.00 1.21
35.06 106.15 0.00 0.00 1.13
-127.00 97.02 0.00 0.00 1.26
35.13 106.98 0.00 0.00 1.30
-127.00 119.43 0.00 0.00 1.29
35.19 120.26 0.00 0.00 1.26
35.25 111.96 0.00 0.00 1.25
35.31 97.02 0.00 0.00 1.43
35.31 92.87 0.00 0.00 1.41
35.31 111.13 0.00 0.00 1.30
35.38 93.70 0.00 0.00 1.31
35.38 107.81 0.00 0.00 1.32
35.44 101.17 0.00 0.00 1.39
35.44 106.15 0.00 0.00 1.41
35.50 106.15 0.00 0.00 1.43
35.56 79.59 0.00 0.00 1.43
35.63 110.30 0.00 0.00 1.49
35.63 100.34 0.00 0.00 1.50
35.69 103.66 0.00 0.00 1.49
35.69 101.17 0.00 0.00 1.45
35.75 107.81 0.00 0.00 1.55
35.81 107.81 0.00 0.00 1.55
35.81 121.92 0.00 0.00 1.56
35.88 100.34 0.00 0.00 1.40
35.88 94.53 0.00 0.00 1.58
35.94 111.96 0.00 0.00 1.36
35.94 110.30 0.00 0.00 1.39
35.94 113.62 0.00 0.00 1.32
35.94 105.32 0.00 0.00 1.49
35.94 103.66 0.00 0.00 1.36
35.88 121.92 0.00 0.00 1.48
35.88 118.60 0.00 0.00 1.44
35.88 108.64 0.00 0.00 1.38
35.88 108.64 0.00 0.00 1.39
35.81 108.64 0.00 0.00 1.30
35.81 116.11 0.00 0.00 1.34
35.75 107.81 0.00 0.00 1.25
35.69 107.81 0.00 0.00 1.35
35.69 117.77 0.00 0.00 1.25
35.69 101.17 0.00 0.00 1.36
35.69 107.81 0.00 0.00 1.29
35.69 107.81 0.00 0.00 1.26
35.69 113.62 0.00 0.00 1.40
35.75 108.64 0.00 0.00 1.44
35.69 97.85 0.00 0.00 1.30
35.69 101.17 0.00 0.00 1.39
35.63 91.21 0.00 0.00 1.41
35.69 126.90 0.00 0.00 1.38
35.69 93.70 0.00 0.00 1.43
35.69 101.17 0.00 0.00 1.38
35.69 106.98 0.00 0.00 1.39
35.69 102.00 0.00 0.00 1.35
35.69 119.43 0.00 0.00 1.34
-127.00 115.28 0.00 0.00 1.18
35.69 97.85 0.00 0.00 1.14
-127.00 98.68 0.00 0.00 1.23
35.69 102.00 0.00 0.00 1.13
-127.00 110.30 0.00 0.00 1.17
-127.00 85.40 0.00 0.00 1.10
-127.00 115.28 0.00 0.00 1.16
-127.00 97.85 0.00 0.00 1.14
35.63 97.85 0.00 0.00 1.07
35.69 99.51 0.00 0.00 1.12
35.69 104.49 0.00 0.00 1.09
35.69 100.34 0.00 0.00 1.07
35.69 110.30 0.00 0.00 1.07
35.69 94.53 0.00 0.00 1.09
35.69 118.60 0.00 0.00 1.12
